system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,SCL,hours_from_measurement,measurement_idx,ndvi,ndwi,.geo
4409_0,0.336,0.5181,0.27030000000000004,0.20090000000000002,0.4999,0.458,0.4176,0.44380000000000003,0.4152,0.4091,0.4,0.38320000000000004,0.5959,1.0,9,18.569335833333334,4409,-0.021526419,0.067599066,"{""type"":""MultiPoint"",""coordinates"":[]}"
4410_0,0.252,0.0361,0.006900000000000001,0.0051,0.043000000000000003,0.062200000000000005,0.0373,0.0733,0.0397,0.041,0.0318,0.022600000000000002,0.008400000000000001,0.0,6,51.01911555555556,4410,-0.07959479,0.32340425,"{""type"":""MultiPoint"",""coordinates"":[]}"
4411_0,0.252,0.0361,0.006900000000000001,0.0051,0.043000000000000003,0.062200000000000005,0.0373,0.0733,0.0397,0.041,0.0318,0.022600000000000002,0.008400000000000001,0.0,6,42.61911555555555,4411,-0.07959479,0.32340425,"{""type"":""MultiPoint"",""coordinates"":[]}"
4412_0,0.396,0.046,0.0118,0.008,0.0451,0.0678,0.042,0.0792,0.049300000000000004,0.048400000000000006,0.039900000000000005,0.0303,0.0213,0.0,6,44.71417527777778,4412,-0.025641026,0.25905293,"{""type"":""MultiPoint"",""coordinates"":[]}"
4413_0,0.396,0.046,0.0118,0.008,0.0451,0.0678,0.042,0.0792,0.049300000000000004,0.048400000000000006,0.039900000000000005,0.0303,0.0213,0.0,6,53.26417527777778,4413,-0.025641026,0.25905293,"{""type"":""MultiPoint"",""coordinates"":[]}"
4414_0,0.324,0.057600000000000005,0.0184,0.014,0.060700000000000004,0.06960000000000001,0.0483,0.0849,0.0551,0.0539,0.04,0.033800000000000004,0.0718,0.0,10,52.603919166666664,4414,-0.09399773,0.270073,"{""type"":""MultiPoint"",""coordinates"":[]}"
4415_0,0.324,0.057600000000000005,0.0184,0.014,0.060700000000000004,0.06960000000000001,0.0483,0.0849,0.0551,0.0539,0.04,0.033800000000000004,0.0718,0.0,10,42.4872525,4415,-0.09399773,0.270073,"{""type"":""MultiPoint"",""coordinates"":[]}"
4416_0,0.978,0.035300000000000005,0.0291,0.0167,0.0324,0.0645,0.0502,0.09570000000000001,0.07640000000000001,0.07880000000000001,0.054400000000000004,0.061700000000000005,0.0,0.0,6,20.59839638888889,4416,0.040152963,0.08494533,"{""type"":""MultiPoint"",""coordinates"":[]}"
4417_0,0.978,0.035300000000000005,0.0291,0.0167,0.0324,0.0645,0.0502,0.09570000000000001,0.07640000000000001,0.07880000000000001,0.054400000000000004,0.061700000000000005,0.0,0.0,6,29.865063055555556,4417,0.040152963,0.08494533,"{""type"":""MultiPoint"",""coordinates"":[]}"
4418_0,0.546,0.0419,0.010700000000000001,0.006900000000000001,0.049600000000000005,0.0632,0.04,0.07010000000000001,0.0463,0.0455,0.037200000000000004,0.029500000000000002,0.0059,0.0,6,51.03678527777778,4418,-0.03626943,0.25896415,"{""type"":""MultiPoint"",""coordinates"":[]}"
