sample_idx,sample_dt,pond_id,region,farm,morning,hour,do_mg_per_L,ph,turbidity_cm,ammonia_mg_per_L,do_winkler,prev_matches_time,prev_sample_dt,prev_do_mg_per_L,prev_ph,prev_turbidity_cm,prev_ammonia_mg_per_L,prev_individuals_air_gulping,prev_individuals_tail_splashing,prev_dead_fish,prev_feed_amount_kg,prev_stocking_density_per_acre,prev_weight,prev_species_catla,prev_species_rohu,prev_species_roopchand,prev_species_grass_carp,prev_species_pangasius,prev_species_whiteleg_shrimp
8570,2025-01-21 15:43:00+05:30,NL-SRZ1,NL,NL-SRZ,False,15,8.8,8.31,,,True,,,,,,,,,,,,,,,,,,
8404,2025-01-03 06:38:00+05:30,NL-SUN1,NL,NL-SUN,True,6,3.9,7.88,,0.28,True,,,,,,,,,,,,,,,,,,
8405,2025-01-03 15:38:00+05:30,NL-SUN1,NL,NL-SUN,False,15,8.9,8.29,,,True,,,,,,,,,,,,,,,,,,
8736,2025-02-03 06:36:00+05:30,NL-SUN1,NL,NL-SUN,True,6,3.7,7.79,,0.18,True,True,2025-01-03 06:38:00+05:30,3.9,7.88,,0.28,0.0,0.0,0.0,30.0,2966.0,300.0,True,True,False,False,False,False
8737,2025-02-03 15:40:00+05:30,NL-SUN1,NL,NL-SUN,False,15,8.8,8.29,,,True,True,2025-01-03 15:38:00+05:30,8.9,8.29,,,0.0,0.0,0.0,,2966.0,300.0,True,True,False,False,False,False
9066,2025-03-07 07:18:00+05:30,NL-SUN1,NL,NL-SUN,True,7,3.2,7.89,,0.09,True,True,2025-02-03 06:36:00+05:30,3.7,7.79,,0.18,0.0,0.0,0.0,40.0,2966.0,400.0,True,True,False,False,False,False
9067,2025-03-07 16:34:00+05:30,NL-SUN1,NL,NL-SUN,False,16,8.5,8.27,,,True,True,2025-02-03 15:40:00+05:30,8.8,8.29,,,0.0,0.0,0.0,,2966.0,400.0,True,True,False,False,False,False
8688,2025-01-04 06:43:00+05:30,NL-SUN2,NL,NL-SUN,True,6,4.0,7.92,,0.01,True,,,,,,,,,,,,,,,,,,
8689,2025-01-04 15:43:00+05:30,NL-SUN2,NL,NL-SUN,False,15,8.5,8.28,,,True,,,,,,,,,,,,,,,,,,
8738,2025-02-03 07:18:00+05:30,NL-SUN2,NL,NL-SUN,True,7,3.3,7.81,,0.04,True,True,2025-01-04 06:43:00+05:30,4.0,7.92,,0.01,0.0,0.0,0.0,30.0,3198.0,100.0,True,True,False,False,False,False
8739,2025-02-03 15:53:00+05:30,NL-SUN2,NL,NL-SUN,False,15,8.7,8.25,,,True,True,2025-01-04 15:43:00+05:30,8.5,8.28,,,0.0,0.0,0.0,,3198.0,100.0,True,True,False,False,False,False
9068,2025-03-07 07:31:00+05:30,NL-SUN2,NL,NL-SUN,True,7,5.2,8.52,,0.02,True,True,2025-02-03 07:18:00+05:30,3.3,7.81,,0.04,0.0,0.0,0.0,40.0,3198.0,200.0,True,True,False,False,False,False
9069,2025-03-07 16:57:00+05:30,NL-SUN2,NL,NL-SUN,False,16,12.4,8.73,,,True,True,2025-02-03 15:53:00+05:30,8.7,8.25,,,0.0,0.0,0.0,,3198.0,200.0,True,True,False,False,False,False
8406,2025-01-03 06:58:00+05:30,NL-SUR1,NL,NL-SUR,True,6,4.0,7.97,,0.25,True,,,,,,,,,,,,,,,,,,
8407,2025-01-03 15:57:00+05:30,NL-SUR1,NL,NL-SUR,False,15,9.1,8.34,,,True,,,,,,,,,,,,,,,,,,
8740,2025-02-03 07:31:00+05:30,NL-SUR1,NL,NL-SUR,True,7,4.5,7.92,,0.24,True,True,2025-01-03 06:58:00+05:30,4.0,7.97,,0.25,0.0,0.0,0.0,20.0,2329.0,400.0,True,True,False,False,False,False
